地區,10,11,12,13,14
臺北市,15.74,-13.06,-26.07,-18.33,14.47
新高雄市,22.44,13.76,6.62,9.24,37.39
宜蘭縣,27.52,15.42,-2.85,7.64,36.68
新竹縣,4.06,-28.12,-48.03,-34.83,7.24
苗栗縣,4.61,-21.50,-41.97,-30.66,7.90
彰化縣,14.34,4.52,-15.17,-4.09,27.68
南投縣,16.34,-2.50,-24.07,-12.26,20.15
雲林縣,22.21,20.64,3.07,14.14,38.48
嘉義縣,26.43,25.58,8.89,19.53,41.99
屏東縣,18.55,16.22,0.51,12.21,36.50
臺東縣,-0.46,-31.04,-46.65,-35.97,-6.21
花蓮縣,2.14,-40.40,-54.95,-44.35,-10.78
澎湖縣,13.54,-1.06,-15.87,-4.10,21.34
基隆市,9.32,-18.88,-35.47,-22.52,12.93
新竹市,11.39,-10.24,-29.39,-17.95,18.80
新臺中市,13.28,0.04,-20.05,-7.47,25.19
嘉義市,23.77,12.12,-4.77,4.78,31.91
新臺南市,25.58,23.96,6.67,17.92,45.45
金門縣,-11.39,-87.90,-90.25,-81.02,-48.09
連江縣,-22.63,-88.48,-90.33,-78.57,-52.06
桃園市,9.57,-10.64,-29.29,-17.35,16.64
新北市,14.36,-6.12,-22.13,-10.27,21.46
